Variable,Label,Mean,Std Dev,Median,Min,Max
alpha_intrusion_pct_3sepochs,Alpha intrusion (% of 3-s epochs),3.7,7.89,0.8,0,89.2
avg_normalized_eeg_power,Average Normalized EEG Power ,0.9,0.3,0.8,0.23,2.5
avg_org_trt,Average ORP Over Total Recording Time,1.1,0.26,1.1,0.4,2.2
avg_orp_last120m_nrem,Avg ORP Last 120 min NREM,0.9,0.28,0.9,0.26,2.3
avg_orp_n1,Average ORP During N1,1.5,0.28,1.5,0.56,2.4
avg_orp_n2,Average ORP During N2,0.9,0.24,0.8,0.31,2
avg_orp_n3,Average ORP During N3,0.5,0.18,0.4,0.07,1.6
avg_orp_nonrem,Average ORP During non-REM,0.8,0.22,0.8,0.31,2.1
avg_orp_rem,Average ORP During REM,1.3,0.33,1.3,0.33,2.4
avg_orp_wake,Average ORP During Wake,2.1,0.17,2.1,0.76,2.5
baseline_hr,Arousal Characteristics - Baseline HR,65.6,9.2,65.1,34.66,106.3
change_in_hr_perh_trt,Arousal Characteristics - Change in HR per hr of TRT,-0.9,1.12,-0.8,-9.1,7.6
delta_hr,Arousal Characteristics - Delta HR,4.9,3.26,3.9,0.27,33.8
dhr_intensity,Arousal Characteristics - dHR/ Intensity,1.8,1.06,1.6,0.11,16.2
diff_orp,Change in ORP across the night,0.6,0.24,0.6,-0.37,1.7
icc_ms_cols,Breakdown of ICC components - MS Columns,4.4,11.98,1.4,0,317.9
icc_ms_error,Breakdown of ICC components - MS Error,0,0.02,0,0.01,0.5
icc_ms_rows,Breakdown of ICC components - MS Rows,0.6,0.23,0.6,0.06,1.7
icc_rl_orp,Icc R/L Orp  ,0.9,0.08,0.9,0.15,1
intensity_scale,Arousal Characteristics - Intensity Scale,2.7,0.58,2.5,1.7,7.3
min_orp_firsthalf_nrem,Min ORP First Half NREM,0.4,0.15,0.3,0.1,1.5
orp_type,ORP Type,5.2,1.99,5,1,9
orpto9,Orp-9 ,1.2,0.23,1.2,0.48,2.1
pct_epoch_0_25to0_5pct,Distribution of epochs in 0.25-0.5% ORP decile,16.5,8.77,16.1,0,51.8
pct_epoch_0_5to0_75pct,Distribution of epochs in 0.5-0.75% ORP decile,16.3,6.14,15.9,0,45.6
pct_epoch_0_75to1pct,Distribution of epochs in 0.75-1.0% ORP decile,13.6,4.66,13.2,0,33.5
pct_epoch_0to_0_25pct,Distribution of epochs in 0-0.25% ORP decile,5.1,5.86,2.9,0,43.2
pct_epoch_1_25to1_5pct,Distribution of epochs in 1.25-1.5% ORP decile,9.4,4.07,9.2,0.6,27.1
pct_epoch_1_5to1_75pct,Distribution of epochs in 1.5-1.75% ORP decile,7.4,3.98,6.8,0.3,32.1
pct_epoch_1_75to2pct,Distribution of epochs in 1.75-2.0% ORP decile,5.9,3.73,4.9,0.2,24.8
pct_epoch_1to1_25pct,Distribution of epochs in 1.0-1.25% ORP decile,11.5,4.1,11.2,1.6,29.1
pct_epoch_2_25to2_5pct,Distribution of epochs in 2.25-2.5% ORP decile,8.6,7.86,6.3,0,70.1
pct_epoch_2to2_25pct,Distribution of epochs in 2.0-2.25% ORP decile,5.7,3.92,4.7,0,35.6
powers_c3a2_alpha,Powers C3/A2  (mV^2)  - Alpha  (7.33-12.0),8.9,5.59,7.5,1.4,72.3
powers_c3a2_beta1,Powers C3/A2  (mV^2)  - Beta1  (14.3-20.0),2.1,0.92,1.9,0.5,11.4
powers_c3a2_beta2,Powers C3/A2  (mV^2)  - Beta2 (20.3-35),1.5,0.88,1.3,0.3,14.4
powers_c3a2_delta,Powers C3/A2  (mV^2)  - Delta (0.33-2.33 Hz),44.7,22.25,40,8,314
powers_c3a2_gammaomega,Powers C3/A2  (mV^2)  - Gamma Omega (35.3-60.0),0.3,0.48,0.2,0.1,11.4
powers_c3a2_sigma,Powers C3/A2  (mV^2)  - Sigma   (12.33-14.0),1.4,0.85,1.3,0.3,30.9
powers_c3a2_theta1,Powers C3/A2  (mV^2)  - Theta1 (2.67-6.33),13.6,4.92,12.8,3.1,56.5
powers_c4a1_alpha,Powers C4/A1  (Ã¦V^2) - Alpha  (7.33-12.0),8.5,5.38,7.1,1.2,62.2
powers_c4a1_beta1,Powers C4/A1  (Ã¦V^2) - Beta1  (14.3-20.0),1.9,0.86,1.7,0.6,14.2
powers_c4a1_beta2,Powers C4/A1  (Ã¦V^2) - Beta2 (20.3-35.0),1.4,0.8,1.2,0.3,12
powers_c4a1_delta,Powers C4/A1  (Ã¦V^2) - Delta (0.33-2.33 Hz),43.2,21.56,38,7,204
powers_c4a1_gammaomega,Powers C4/A1  (Ã¦V^2) - Gamma Omega (35.3-60.0),0.7,1.69,0.3,0.1,32.8
powers_c4a1_sigma,Powers C4/A1  (Ã¦V^2) - Sigma   (12.33-14.0),1.4,1.93,1.2,0.3,112.7
powers_c4a1_theta1,Powers C4/A1  (Ã¦V^2) - Theta1 (2.67-6.33),13.1,4.85,12.3,2.2,50.2
spindle_char_n2_density_c3,Spindle Characteristics (Stage N2) - Density (C3),1.1,0.73,1,0,4.4
spindle_char_n2_density_c4,Spindle Characteristics (Stage N2) - Density (C4),1.1,0.72,1,0,5
spindle_char_n2_freq_c3,Spindle Characteristics (Stage N2) - Frequency (C3),12,0.59,12,10.4,14
spindle_char_n2_freq_c4,Spindle Characteristics (Stage N2) - Frequency (C4),12,0.59,12,10.3,14.2
spindle_char_n2_pctfast_c3,Spindle Characteristics (Stage N2) - % Fast (C3),49.4,21.2,50.1,0,96.6
spindle_char_n2_pctfast_c4,Spindle Characteristics (Stage N2) - % Fast (C4),48.7,21.63,49.7,0,98.6
spindle_char_n2_power_c3,Spindle Characteristics (Stage N2) - Power (C3),29,9.66,27.3,6.6,98.3
spindle_char_n2_power_c4,Spindle Characteristics (Stage N2) - Power (C4),27.9,9.54,26.1,5.2,124.7
sum_deciles_1and2,Sum Deciles 1 & 2,21.6,13.24,19.9,0,78.9
valid_delta_and_intensity_count,Arousal Characteristics - Valid Delta & Intensity Count,104.2,56.7,93,20,529
valid_intensity_count,Arousal Characteristics - Valid Intensity Count,118.5,62.25,106,21,537
